Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,47795,0.5101449275362319,0.7543284882092538,11.0,158.0,0.941498281943874,0.9972213917661749,0.8888888888888888,0.9430551403275318,56705.0,88.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,47795,0.7323943661971831,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,SMOTE,Logistic Regression,47795,0.14042867701404288,0.5650487097038661,4.0,1159.0,0.9695551378599558,0.9796176775759281,0.9595959595959596,0.9696068185859438,55704.0,95.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,47795,0.8601036269430051,0.9299331123258168,16.0,11.0,0.9155444583431328,0.999806552591316,0.8383838383838383,0.9190951954875771,56852.0,83.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,47795,0.6754966887417219,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0
Creditcard Fraud,2,SMOTE,Logistic Regression,47795,0.29896907216494845,0.647684673719008,12.0,396.0,0.9341669584299365,0.993035893287375,0.8787878787878788,0.935911886037627,56467.0,87.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,47795,0.375,0.6867520897492301,47.0,123.0,0.7206125669311075,0.9978369062483513,0.5204081632653061,0.7591225347568287,56740.0,51.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,47795,0.5147058823529411,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0
Creditcard Fraud,3,SMOTE,Logistic Regression,47795,0.1943127962085308,0.5941496240191206,16.0,664.0,0.9093756015456047,0.9883228109667095,0.8367346938775511,0.9125287524221304,56199.0,82.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,47795,0.1602787456445993,0.5769419838022132,29.0,694.0,0.8339595171475421,0.9877952271248439,0.7040816326530612,0.8459384298889526,56169.0,69.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,47795,0.7272727272727273,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0
Creditcard Fraud,4,SMOTE,Logistic Regression,47795,0.25251076040172166,0.6239546515631924,10.0,511.0,0.9433396330044315,0.9910134885602236,0.8979591836734694,0.9444863361168465,56352.0,88.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,47795,0.46779661016949153,0.733207448158135,29.0,128.0,0.8381507786335514,0.9977489756080403,0.7040816326530612,0.8509153041305508,56735.0,69.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,47795,0.453125,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0
Creditcard Fraud,5,SMOTE,Logistic Regression,47795,0.45108695652173914,0.7246540335913731,15.0,187.0,0.918778279899881,0.9967113940523715,0.8469387755102041,0.9218250847812878,56676.0,83.0
