Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,1,K-Means,Logistic Regression,400,0.7699115044247787,0.8847270762462334,12.0,40.0,0.9371070908604012,0.9992965548775126,0.8787878787878788,0.9390422168326957,56823.0,87.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,400,0.03135650988411725,0.48937707777466394,7.0,5677.0,0.9146122802276008,0.9001635509909783,0.9292929292929293,0.9147282401419538,51186.0,92.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,400,0.7323943661971831,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,SMOTE,Logistic Regression,400,0.14210919970082272,0.5659607613077732,4.0,1143.0,0.9696943717427531,0.9798990556249231,0.9595959595959596,0.9697475076104414,55720.0,95.0
Creditcard Fraud,2,K-Means,Logistic Regression,400,0.8839779005524862,0.9418966369031125,19.0,2.0,0.8989173410584853,0.9999648277438756,0.8080808080808081,0.9040228179123417,56861.0,80.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,400,0.009735744089012517,0.41648288425123453,15.0,17073.0,0.7705381235852082,0.6997520355943232,0.8484848484848485,0.7741184420395859,39790.0,84.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,400,0.6754966887417219,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0
Creditcard Fraud,2,SMOTE,Logistic Regression,400,0.29896907216494845,0.647684673719008,12.0,396.0,0.9341669584299365,0.993035893287375,0.8787878787878788,0.935911886037627,56467.0,87.0
Creditcard Fraud,3,K-Means,Logistic Regression,400,0.5714285714285714,0.785437423486204,56.0,7.0,0.6546133745862835,0.9998768971035648,0.42857142857142855,0.7142241628374967,56856.0,42.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,400,0.0014552333830538072,0.3419551286947663,78.0,27369.0,0.32535232427545846,0.518685261066071,0.20408163265306123,0.36138344685956614,29494.0,20.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,400,0.5147058823529411,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0
Creditcard Fraud,3,SMOTE,Logistic Regression,400,0.1943127962085308,0.5941496240191206,16.0,664.0,0.9093756015456047,0.9883228109667095,0.8367346938775511,0.9125287524221304,56199.0,82.0
Creditcard Fraud,4,K-Means,Logistic Regression,400,0.8167539267015707,0.9082230914952667,20.0,15.0,0.8920248934373473,0.9997362080790673,0.7959183673469388,0.8978272877130031,56848.0,78.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,400,0.010575793184488837,0.41839598517658744,8.0,16832.0,0.8040657293745781,0.7039902924573097,0.9183673469387755,0.8111788196980425,40031.0,90.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,400,0.7272727272727273,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0
Creditcard Fraud,4,SMOTE,Logistic Regression,400,0.25538020086083213,0.6253982037644854,9.0,510.0,0.9486927936949608,0.9910310746882859,0.9081632653061225,0.9495971699972041,56353.0,89.0
Creditcard Fraud,5,K-Means,Logistic Regression,400,0.7951807228915663,0.8974409187790227,32.0,2.0,0.8206373744336192,0.9999648277438756,0.673469387755102,0.8367171077494888,56861.0,66.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,400,0.0,0.4960942683498616,98.0,785.0,0.0,0.9861948894711852,0.0,0.4930974447355926,56078.0,0.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,400,0.453125,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0
Creditcard Fraud,5,SMOTE,Logistic Regression,400,0.4486486486486487,0.7234260574509976,15.0,189.0,0.9187620686925697,0.9966762217962472,0.8469387755102041,0.9218074986532256,56674.0,83.0
