Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,k,kmeans_n_init
Creditcard Fraud,1,K-Means,Logistic Regression,492,0.7659574468085106,0.40202133801563456,0.8827368354467573,9.0,46.0,0.9530768537689533,0.9991910381091396,0.9090909090909091,0.9541409736000244,56817.0,90.0,,492.0,1000.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,492,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0,,,
Creditcard Fraud,1,SMOTE,Logistic Regression,492,0.14393939393939395,1.0719713343615656,0.5669521132248923,4.0,1126.0,0.9698422858413324,0.9801980198019802,0.9595959595959596,0.9698969896989699,55737.0,95.0,,492.0,
Creditcard Fraud,2,K-Means,Logistic Regression,492,0.8936170212765957,0.3141266911462992,0.9467205877291047,15.0,5.0,0.9210918741737043,0.9999120693596891,0.8484848484848485,0.9241984589222689,56858.0,84.0,,492.0,1000.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,492,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,,,
Creditcard Fraud,2,SMOTE,Logistic Regression,492,0.2934232715008432,1.1867747465452272,0.6448630682799148,12.0,407.0,0.9340759642471826,0.9928424458786909,0.8787878787878788,0.9358151623332849,56456.0,87.0,,492.0,
Creditcard Fraud,3,K-Means,Logistic Regression,492,0.7243243243243244,0.4936509879873707,0.8619379607149638,31.0,20.0,0.8267000701609064,0.9996482774387563,0.6836734693877551,0.8416608734132557,56843.0,67.0,,492.0,1000.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,492,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,,,
Creditcard Fraud,3,SMOTE,Logistic Regression,492,0.19830713422007254,1.2768042946784908,0.5962224030444278,16.0,647.0,0.909513132607551,0.9886217751437666,0.8367346938775511,0.9126782345106589,56216.0,82.0,,492.0,
Creditcard Fraud,4,K-Means,Logistic Regression,492,0.8877005347593583,0.43275006900289625,0.9437579475133232,15.0,6.0,0.9202442117544681,0.9998944832316269,0.8469387755102041,0.9234166293709156,56857.0,83.0,,492.0,1000.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,492,0.6528925619834711,11.061868230328042,0.8260768228636566,19.0,65.0,0.8973299124397841,0.998856901675958,0.8061224489795918,0.9024896753277749,56798.0,79.0,0.5885488177937822,492.0,1000.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,492,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0,,,
Creditcard Fraud,4,SMOTE,Logistic Regression,492,0.25360230547550433,1.1086882868317494,0.6245137326649787,10.0,508.0,0.9433647428606454,0.9910662469444103,0.8979591836734694,0.9445127153089399,56355.0,88.0,,492.0,
Creditcard Fraud,5,K-Means,Logistic Regression,492,0.8187134502923976,0.4332347669144698,0.9092204626078475,28.0,3.0,0.8451319599480197,0.9999472416158135,0.7142857142857143,0.8571164779507638,56860.0,70.0,,492.0,1000.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,492,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0,,,
Creditcard Fraud,5,SMOTE,Logistic Regression,492,0.45231607629427795,1.151424131864509,0.7252730044630212,15.0,186.0,0.9187863853962742,0.9967289801804337,0.8469387755102041,0.9218338778453189,56677.0,83.0,,492.0,
