Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,1,K-Means,Logistic Regression,200,0.7733333333333333,0.8864423902878067,12.0,39.0,0.9371153366672751,0.9993141410055748,0.8787878787878788,0.9390510098967269,56824.0,87.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,200,0.24929178470254956,0.6223052751349312,11.0,519.0,0.9384965752785326,0.9908727995357263,0.8888888888888888,0.9398808442123077,56344.0,88.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,200,0.7323943661971831,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,SMOTE,Logistic Regression,200,0.13858497447118892,0.5640460699921626,4.0,1177.0,0.9693984758378964,0.9793011272708088,0.9595959595959596,0.9694485434333842,55686.0,95.0
Creditcard Fraud,2,K-Means,Logistic Regression,200,0.8839779005524862,0.9418966369031125,19.0,2.0,0.8989173410584853,0.9999648277438756,0.8080808080808081,0.9040228179123417,56861.0,80.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,200,0.0034699707330751303,0.0017349853665375651,0.0,56863.0,0.0,0.0,1.0,0.5,0.0,99.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,200,0.6754966887417219,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0
Creditcard Fraud,2,SMOTE,Logistic Regression,200,0.29491525423728815,0.6456223437967813,12.0,404.0,0.9341007817215612,0.9928952042628775,0.8787878787878788,0.9358415415253781,56459.0,87.0
Creditcard Fraud,3,K-Means,Logistic Regression,200,0.6075949367088608,0.803524974419618,50.0,12.0,0.6997803619725335,0.9997889664632538,0.4897959183673469,0.7447924424153003,56851.0,48.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,200,0.5650224215246636,0.7820846458848923,35.0,62.0,0.8013464981134343,0.9989096600601446,0.6428571428571429,0.8208834014586437,56801.0,63.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,200,0.5147058823529411,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0
Creditcard Fraud,3,SMOTE,Logistic Regression,200,0.1987878787878788,0.5964716691303603,16.0,645.0,0.9095293113652587,0.988656947399891,0.8367346938775511,0.912695820638721,56218.0,82.0
Creditcard Fraud,4,K-Means,Logistic Regression,200,0.8367346938775511,0.918226657914278,16.0,16.0,0.9146033321073467,0.999718621951005,0.8367346938775511,0.9182266579142779,56847.0,82.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,200,0.7368421052631579,0.8682012376278861,28.0,22.0,0.8449907460113022,0.9996131051826319,0.7142857142857143,0.8569494097341732,56841.0,70.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,200,0.7272727272727273,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0
Creditcard Fraud,4,SMOTE,Logistic Regression,200,0.24823695345557123,0.6217645067773383,10.0,523.0,0.9432391868951117,0.9908024550234775,0.8979591836734694,0.9443808193484735,56340.0,88.0
Creditcard Fraud,5,K-Means,Logistic Regression,200,0.7547169811320755,0.8771870815842071,38.0,1.0,0.7824539161778173,0.9999824138719379,0.6122448979591837,0.8061136559155608,56862.0,60.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,200,0.125,0.5620078826651669,90.0,22.0,0.28565900967907015,0.9996131051826319,0.08163265306122448,0.5406228791219283,56841.0,8.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,200,0.453125,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0
Creditcard Fraud,5,SMOTE,Logistic Regression,200,0.45231607629427795,0.7252730044630212,15.0,186.0,0.9187863853962742,0.9967289801804337,0.8469387755102041,0.9218338778453189,56677.0,83.0
