Dataset,Oversampling,Classifier,Balanced F-Measure,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score
MNIST Imbalanced 1+7,K-Means,Gradient Boosting,0.9279109265899227,0.9286646289921163,0.9991189427312775,0.8181818181818182,0.908650380456548
MNIST Imbalanced 1+7,K-Means,Logistic Regression,0.9759703088633076,0.9767933865984315,1.0,0.9090909090909091,0.9545454545454546
MNIST Imbalanced 1+7,K-Means,Random Forest,0.8880093814130754,0.9037395372833381,1.0,0.6363636363636364,0.8181818181818181
MNIST Imbalanced 1+7,K-Means,Support Vector,0.9495598591549296,0.9530432082755586,1.0,0.8181818181818182,0.9090909090909092
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Gradient Boosting,0.4975887768522578,0.497594562912558,1.0,0.0,0.5
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Logistic Regression,0.5498316498316498,0.6998607216095132,0.9022026431718062,0.9090909090909091,0.9056467761313578
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Random Forest,0.4975887768522578,0.497594562912558,1.0,0.0,0.5
MNIST Imbalanced 1+7,K-Means on Autoencoder Encoding,Support Vector,0.7166592493695297,0.7812691342166573,0.9788546255506608,0.9090909090909091,0.943972767320785
MNIST Imbalanced 1+7,No Oversampling,Gradient Boosting,0.8111818980667838,0.8516810019259033,1.0,0.45454545454545453,0.7272727272727273
MNIST Imbalanced 1+7,No Oversampling,Logistic Regression,0.9759703088633076,0.9767933865984315,1.0,0.9090909090909091,0.9545454545454546
MNIST Imbalanced 1+7,No Oversampling,Random Forest,0.8518422753716871,0.8780846743764524,1.0,0.5454545454545454,0.7727272727272727
MNIST Imbalanced 1+7,No Oversampling,Support Vector,0.8880093814130754,0.9037395372833381,1.0,0.6363636363636364,0.8181818181818181
MNIST Imbalanced 1+7,Random Clustering,Gradient Boosting,0.9495598591549296,0.9530432082755586,1.0,0.8181818181818182,0.9090909090909092
MNIST Imbalanced 1+7,Random Clustering,Logistic Regression,0.9759703088633076,0.9767933865984315,1.0,0.9090909090909091,0.9545454545454546
MNIST Imbalanced 1+7,Random Clustering,Random Forest,0.8880093814130754,0.9037395372833381,1.0,0.6363636363636364,0.8181818181818181
MNIST Imbalanced 1+7,Random Clustering,Support Vector,0.9759703088633076,0.9767933865984315,1.0,0.9090909090909091,0.9545454545454546
MNIST Imbalanced 1+7,SMOTE,Gradient Boosting,0.9495598591549296,0.9530432082755586,1.0,0.8181818181818182,0.9090909090909092
MNIST Imbalanced 1+7,SMOTE,Logistic Regression,0.9759703088633076,0.9767933865984315,1.0,0.9090909090909091,0.9545454545454546
MNIST Imbalanced 1+7,SMOTE,Random Forest,0.9495598591549296,0.9530432082755586,1.0,0.8181818181818182,0.9090909090909092
MNIST Imbalanced 1+7,SMOTE,Support Vector,0.9759703088633076,0.9767933865984315,1.0,0.9090909090909091,0.9545454545454546
MNIST Imbalanced 7+8,K-Means,Gradient Boosting,0.8740291262135922,0.8935600776685924,1.0,0.6,0.8
MNIST Imbalanced 7+8,K-Means,Logistic Regression,0.9495136186770428,0.9495136186770428,0.9990272373540856,0.9,0.9495136186770428
MNIST Imbalanced 7+8,K-Means,Random Forest,0.7290726723591483,0.8048614367499227,1.0,0.3,0.65
MNIST Imbalanced 7+8,K-Means,Support Vector,0.97344113809073,0.9744426031241064,1.0,0.9,0.95
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Gradient Boosting,0.4975798644724104,0.49758569328106306,1.0,0.0,0.5
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Logistic Regression,0.5754353161154611,0.6915125106353927,0.933852140077821,0.8,0.8669260700389105
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Random Forest,0.4975798644724104,0.49758569328106306,1.0,0.0,0.5
MNIST Imbalanced 7+8,K-Means on Autoencoder Encoding,Support Vector,0.594119027136936,0.6620014026395135,0.9601167315175098,0.6,0.7800583657587549
MNIST Imbalanced 7+8,No Oversampling,Gradient Boosting,0.7480582524271844,0.7618993646621123,0.9980544747081712,0.4,0.6990272373540856
MNIST Imbalanced 7+8,No Oversampling,Logistic Regression,0.97344113809073,0.9744426031241064,1.0,0.9,0.95
MNIST Imbalanced 7+8,No Oversampling,Random Forest,0.8879170715905409,0.8917297021824341,0.9990272373540856,0.7,0.8495136186770428
MNIST Imbalanced 7+8,No Oversampling,Support Vector,0.6647286821705427,0.7730998626848912,1.0,0.2,0.6
MNIST Imbalanced 7+8,SMOTE,Gradient Boosting,0.9203234142721901,0.9212309574514534,0.9990272373540856,0.8,0.8995136186770428
MNIST Imbalanced 7+8,SMOTE,Logistic Regression,0.9495136186770428,0.9495136186770428,0.9990272373540856,0.9,0.9495136186770428
MNIST Imbalanced 7+8,SMOTE,Random Forest,0.9439585357952706,0.948222660345255,1.0,0.8,0.9
MNIST Imbalanced 7+8,SMOTE,Support Vector,0.9495136186770428,0.9495136186770428,0.9990272373540856,0.9,0.9495136186770428
