Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,Diversity,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP,ae_loss,k,kmeans_n_init
Creditcard Fraud,1,K-Means,Logistic Regression,492,0.7733333333333333,0.5814579038457279,0.8864423902878067,12.0,39.0,0.9371153366672751,0.9993141410055748,0.8787878787878788,0.9390510098967269,56824.0,87.0,,492.0,3.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,492,0.7323943661971831,,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0,,,
Creditcard Fraud,1,SMOTE,Logistic Regression,492,0.14393939393939395,1.0930839293174177,0.5669521132248923,4.0,1126.0,0.9698422858413324,0.9801980198019802,0.9595959595959596,0.9698969896989699,55737.0,95.0,,492.0,
Creditcard Fraud,2,K-Means,Logistic Regression,492,0.8839779005524862,0.6617695685051883,0.9418966369031125,19.0,2.0,0.8989173410584853,0.9999648277438756,0.8080808080808081,0.9040228179123417,56861.0,80.0,,492.0,3.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,492,0.6754966887417219,,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0,,,
Creditcard Fraud,2,SMOTE,Logistic Regression,492,0.29948364888123924,1.2040401728250938,0.6479463893453778,12.0,395.0,0.9341752301888626,0.9930534794154371,0.8787878787878788,0.935920679101658,56468.0,87.0,,492.0,
Creditcard Fraud,3,K-Means,Logistic Regression,492,0.7243243243243244,0.5568777064993036,0.8619379607149638,31.0,20.0,0.8267000701609064,0.9996482774387563,0.6836734693877551,0.8416608734132557,56843.0,67.0,,492.0,3.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,492,0.005409327792070717,4.309975378351072,0.3223664025688261,16.0,30138.0,0.6271015308697035,0.46998927246188205,0.8367346938775511,0.6533619831697166,26725.0,82.0,0.5876970732954908,492.0,3.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,492,0.5147058823529411,,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0,,,
Creditcard Fraud,3,SMOTE,Logistic Regression,492,0.19181286549707602,1.2594263085761614,0.5928507224174954,16.0,675.0,0.9092865997737698,0.9881293635580254,0.8367346938775511,0.9124320287177883,56188.0,82.0,,492.0,
Creditcard Fraud,4,K-Means,Logistic Regression,492,0.8275862068965517,0.3856886017390204,0.9136392153556969,14.0,21.0,0.9256491272818971,0.9996306913106942,0.8571428571428571,0.9283867742267757,56842.0,84.0,,492.0,3.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,492,0.010007614489285326,5.661357972517034,0.40974128840357754,6.0,18196.0,0.7989805932855883,0.68000281378049,0.9387755102040817,0.8093891619922859,38667.0,92.0,0.5886824056000614,492.0,3.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,492,0.7272727272727273,,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0,,,
Creditcard Fraud,4,SMOTE,Logistic Regression,492,0.2521489971346705,1.124180128290897,0.623769333584646,10.0,512.0,0.9433312629038311,0.9909959024321615,0.8979591836734694,0.9444775430528154,56351.0,88.0,,492.0,
Creditcard Fraud,5,K-Means,Logistic Regression,492,0.7630057803468208,0.3703340801637256,0.881322668808827,32.0,9.0,0.8205868596833676,0.9998417248474404,0.673469387755102,0.8366555563012712,56854.0,66.0,,492.0,3.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,492,0.453125,,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0,,,
Creditcard Fraud,5,SMOTE,Logistic Regression,492,0.4486486486486487,1.1431247858449067,0.7234260574509976,15.0,189.0,0.9187620686925697,0.9966762217962472,0.8469387755102041,0.9218074986532256,56674.0,83.0,,492.0,
