Dataset,Oversampling,Classifier,,Balanced F-Measure,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,count,4.0,4.0,4.0,4.0,4.0
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,mean,0.8486203117218178,0.8590449152312252,0.9997450011430983,0.6254122861265717,0.812578643634835
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,std,0.03832253511785067,0.02860514508555483,0.0001536481534223631,0.15692146483097685,0.07838423596353297
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,min,0.8084743334145226,0.8356446782066386,0.9995427606703832,0.46938775510204084,0.734649912230865
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,25%,0.826937275829698,0.8410128661520914,0.9996878462268962,0.5382653061224489,0.7690425241549059
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,50%,0.8435765612585715,0.8504806359293469,0.9997625872711605,0.596938775510204,0.7983506813906823
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,75%,0.8652595971506913,0.8685126850084806,0.9998197421873626,0.6840857555143269,0.8418868008706115
Creditcard Fraud,K-Means on Autoencoder Encoding,Logistic Regression,max,0.898853790955606,0.8995737108595682,0.9999120693596891,0.8383838383838383,0.9189632995271106
Creditcard Fraud,No Oversampling,Logistic Regression,count,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,No Oversampling,Logistic Regression,mean,0.8100498356423815,0.8449376225717149,0.9998557937498902,0.5055040197897341,0.752679906769812
Creditcard Fraud,No Oversampling,Logistic Regression,std,0.0643442576868226,0.03966256326310358,0.00027397133095144574,0.1937213273110949,0.09675266613005051
Creditcard Fraud,No Oversampling,Logistic Regression,min,0.7262549266657293,0.7979715293247197,0.9993668993897613,0.29591836734693877,0.6479503906094383
Creditcard Fraud,No Oversampling,Logistic Regression,25%,0.7570629230723103,0.80708418626003,0.9999472416158135,0.35714285714285715,0.6785450493793352
Creditcard Fraud,No Oversampling,Logistic Regression,50%,0.8375330032969681,0.866004149395323,0.9999824138719379,0.5151515151515151,0.7575669645117264
Creditcard Fraud,No Oversampling,Logistic Regression,75%,0.8634517774609892,0.8673865603188954,0.9999824138719379,0.5714285714285714,0.7857142857142857
Creditcard Fraud,No Oversampling,Logistic Regression,max,0.8659465477159108,0.8862416875596063,1.0,0.7878787878787878,0.8936228436342746
Creditcard Fraud,SMOTE,Logistic Regression,count,5.0,5.0,5.0,5.0,5.0
Creditcard Fraud,SMOTE,Logistic Regression,mean,0.6309517436369001,0.7377219464245193,0.9897226667604594,0.8840032982890126,0.9368629825247359
Creditcard Fraud,SMOTE,Logistic Regression,std,0.06122523287702696,0.024967141909285888,0.006386726311141535,0.04884751168875378,0.022122197955114664
Creditcard Fraud,SMOTE,Logistic Regression,min,0.5655592795387829,0.7110378063736795,0.9797759527284877,0.8367346938775511,0.9124408217818194
Creditcard Fraud,SMOTE,Logistic Regression,25%,0.5929674741750399,0.7223601740639649,0.9881469496860876,0.8469387755102041,0.9218338778453189
Creditcard Fraud,SMOTE,Logistic Regression,50%,0.6224864734432972,0.7352432882855086,0.9908727995357263,0.8787878787878788,0.9359382652297201
Creditcard Fraud,SMOTE,Logistic Regression,75%,0.6484724865643593,0.7434306386963242,0.9930886516715615,0.8979591836734694,0.9444159916045978
Creditcard Fraud,SMOTE,Logistic Regression,max,0.7252730044630212,0.7765378247031195,0.9967289801804337,0.9595959595959596,0.9696859561622236
