Dataset,Fold,Oversampling,Classifier,k,Balanced F-Measure,F1-Score Macro,FN,FP,G-Measure,Majority Accuracy,Minority Accuracy,ROC AUC Score,TN,TP
Creditcard Fraud,1,K-Means,Logistic Regression,200,0.7692307692307693,0.8843911161264266,14.0,37.0,0.9262975699816901,0.9993493132616992,0.8585858585858586,0.9289675859237789,56826.0,85.0
Creditcard Fraud,1,K-Means on Autoencoder Encoding,Logistic Regression,200,0.7713004484304933,0.8854259517814072,13.0,38.0,0.9317222487539725,0.9993317271336369,0.8686868686868687,0.9340092979102528,56825.0,86.0
Creditcard Fraud,1,No Oversampling,Logistic Regression,200,0.7323943661971831,0.8659465477159108,21.0,36.0,0.8873443420326675,0.9993668993897613,0.7878787878787878,0.8936228436342746,56827.0,78.0
Creditcard Fraud,1,SMOTE,Logistic Regression,200,0.1441578148710167,0.567070293329688,4.0,1124.0,0.9698596860169039,0.9802331920581046,0.9595959595959596,0.969914575827032,55739.0,95.0
Creditcard Fraud,2,K-Means,Logistic Regression,200,0.8777777777777778,0.9387921804910833,20.0,2.0,0.893281440101585,0.9999648277438756,0.797979797979798,0.8989723128618368,56861.0,79.0
Creditcard Fraud,2,K-Means on Autoencoder Encoding,Logistic Regression,200,0.7530864197530864,0.876367404247247,38.0,2.0,0.7849458225683085,0.9999648277438756,0.6161616161616161,0.8080632219527459,56861.0,61.0
Creditcard Fraud,2,No Oversampling,Logistic Regression,200,0.6754966887417219,0.8375330032969681,48.0,1.0,0.7177342513988016,0.9999824138719379,0.5151515151515151,0.7575669645117264,56862.0,51.0
Creditcard Fraud,2,SMOTE,Logistic Regression,200,0.29,0.6431204334474604,12.0,414.0,0.9340180542425682,0.9927193429822556,0.8787878787878788,0.9357536108850673,56449.0,87.0
Creditcard Fraud,3,K-Means,Logistic Regression,200,0.5987261146496815,0.7990861707604316,51.0,12.0,0.6924526169877568,0.9997889664632538,0.47959183673469385,0.7396904015989738,56851.0,47.0
Creditcard Fraud,3,K-Means on Autoencoder Encoding,Logistic Regression,200,0.05730659025787966,0.5168113082667065,18.0,2614.0,0.882496394741066,0.9540298612454496,0.8163265306122449,0.8851781959288473,54249.0,80.0
Creditcard Fraud,3,No Oversampling,Logistic Regression,200,0.5147058823529411,0.7570629230723103,63.0,3.0,0.5975985398767224,0.9999472416158135,0.35714285714285715,0.6785450493793352,56860.0,35.0
Creditcard Fraud,3,SMOTE,Logistic Regression,200,0.1943127962085308,0.5941496240191206,16.0,664.0,0.9093756015456047,0.9883228109667095,0.8367346938775511,0.9125287524221304,56199.0,82.0
Creditcard Fraud,4,K-Means,Logistic Regression,200,0.8888888888888888,0.9443565261732694,18.0,2.0,0.9034920135598483,0.9999648277438756,0.8163265306122449,0.9081456791780602,56861.0,80.0
Creditcard Fraud,4,K-Means on Autoencoder Encoding,Logistic Regression,200,0.8421052631578947,0.9209339513036092,26.0,1.0,0.857135320197694,0.9999824138719379,0.7346938775510204,0.867338145711479,56862.0,72.0
Creditcard Fraud,4,No Oversampling,Logistic Regression,200,0.7272727272727273,0.8634517774609892,42.0,0.0,0.7559289460184544,1.0,0.5714285714285714,0.7857142857142857,56863.0,56.0
Creditcard Fraud,4,SMOTE,Logistic Regression,200,0.24719101123595505,0.6212282235757551,10.0,526.0,0.9432140736963985,0.9907496966392909,0.8979591836734694,0.9443544401563801,56337.0,88.0
Creditcard Fraud,5,K-Means,Logistic Regression,200,0.7388535031847133,0.8692465555742492,40.0,1.0,0.7693024935467643,0.9999824138719379,0.5918367346938775,0.7959095742829077,56862.0,58.0
Creditcard Fraud,5,K-Means on Autoencoder Encoding,Logistic Regression,200,0.6711409395973155,0.8353551287247649,48.0,1.0,0.7142794334980783,0.9999824138719379,0.5102040816326531,0.7550932477522954,56862.0,50.0
Creditcard Fraud,5,No Oversampling,Logistic Regression,200,0.453125,0.7262549266657293,69.0,1.0,0.5439790099706372,0.9999824138719379,0.29591836734693877,0.6479503906094383,56862.0,29.0
Creditcard Fraud,5,SMOTE,Logistic Regression,200,0.4486486486486487,0.7234260574509976,15.0,189.0,0.9187620686925697,0.9966762217962472,0.8469387755102041,0.9218074986532256,56674.0,83.0
